
Total mac address : 1520

Mac address      Vlan  Type      Port	                  Vc                      
98:00:6A:88:DB:E2   100   Dynamic   gpon-onu_1/3/4:37        vport 1  
34:36:54:95:1B:D2   100   Dynamic   gpon-onu_1/3/4:38        vport 1  
34:36:54:AF:60:6E   100   Dynamic   gpon-onu_1/3/4:40        vport 1  
28:77:77:4B:B4:8C   100   Dynamic   gpon-onu_1/3/4:41        vport 1  
FC:40:09:07:2B:BE   100   Dynamic   gpon-onu_1/3/4:42        vport 1  
94:FF:61:3A:7C:4D   100   Dynamic   gpon-onu_1/3/4:44        vport 1  
B4:E4:6B:65:54:6F   100   Dynamic   gpon-onu_1/3/4:45        vport 1  
B4:E4:6B:6F:37:48   100   Dynamic   gpon-onu_1/3/4:46        vport 1  
F8:6C:E1:8B:A7:12   100   Dynamic   gpon-onu_1/3/4:47        vport 1  
F8:6C:E1:90:91:E9   100   Dynamic   gpon-onu_1/3/4:48        vport 1  
B8:DD:71:EB:FA:F6   100   Dynamic   gpon-onu_1/3/4:49        vport 1  
AC:AD:4B:40:7F:32   100   Dynamic   gpon-onu_1/3/4:50        vport 1  
34:36:54:AD:6E:14   100   Dynamic   gpon-onu_1/3/4:51        vport 1  
34:36:54:96:E0:54   100   Dynamic   gpon-onu_1/3/4:52        vport 1  
B4:E4:6B:8F:CC:FB   100   Dynamic   gpon-onu_1/3/4:53        vport 1  
94:FF:61:6F:36:53   100   Dynamic   gpon-onu_1/3/4:54        vport 1  
F8:64:B8:B5:C7:20   100   Dynamic   gpon-onu_1/3/4:55        vport 1  
B4:E4:6B:68:CB:F8   100   Dynamic   gpon-onu_1/3/4:56        vport 1  
B4:E4:6B:73:34:D8   100   Dynamic   gpon-onu_1/3/4:57        vport 1  
D4:7E:A8:19:50:28   100   Dynamic   gpon-onu_1/3/4:59        vport 1  
30:C5:0F:9F:41:43   100   Dynamic   gpon-onu_1/3/4:60        vport 1  
B4:E4:6B:61:F9:7A   100   Dynamic   gpon-onu_1/3/5:1         vport 1  
AC:5C:A0:D7:2E:BC   100   Dynamic   gpon-onu_1/3/5:2         vport 1  
B4:E4:6B:64:4B:F0   100   Dynamic   gpon-onu_1/3/5:3         vport 1  
F8:64:B8:A9:22:D4   100   Dynamic   gpon-onu_1/3/5:4         vport 1  
